Customer_ID,First_Name,Last_Name,Email,Phone,Gender,Date_of_Birth,City,State,Registration_Date
1,Warjas,Kibe,warjaskibe31@outlook.com,9736026064,Male,1987-09-06,Jhansi,Bihar,2026-04-19
2,Chasmum,Sankar,chasmumsankar64@outlook.com,7343098050,Female,1979-08-10,Bulandshahr,Manipur,2024-09-01
3,Chatura,Chaudhari,chaturachaudhari77@gmail.com,6812191361,Other,1959-08-15,Sonipat,Uttar Pradesh,2026-06-17
4,Chatura,Kothari,chaturakothari84@shopper.in,6699854353,Male,1968-07-13,Jorhat,Manipur,2025-01-06
5,Logan,Sami,logansami92@yahoo.co.in,9510799118,Other,1967-12-25,Surendranagar Dudhrej,Haryana,2024-05-15
6,Baljiwan,Savant,baljiwansavant54@shopper.in,7542784980,Male,1992-12-11,Dhanbad,Rajasthan,2026-06-09
7,Advika,Chander,advikachander94@shopper.in,7411824493,Female,2006-10-10,Rourkela,Maharashtra,2025-12-12
8,Vedika,Srivastava,vedikasrivastava91@yahoo.co.in,9401640052,Other,1970-01-15,Allahabad,Goa,2025-03-14
9,Ranveer,Agate,ranveeragate66@outlook.com,6112805982,Male,1982-01-23,Malda,Jharkhand,2024-11-21
10,Udyati,Sur,udyatisur56@shopper.in,8331586923,Female,1966-01-11,Sagar,Gujarat,2025-11-28
11,Barkha,Bhat,barkhabhat13@gmail.com,8634216073,Female,2006-05-25,Howrah,Arunachal Pradesh,2024-08-23
12,Waida,Thakkar,waidathakkar49@gmail.com,7036541458,Female,1991-08-22,Howrah,Mizoram,2025-08-01
13,Chaitaly,Grewal,chaitalygrewal13@shopper.in,8294019655,Female,1960-02-28,Noida,Madhya Pradesh,2025-07-19
14,Darpan,Koshy,darpankoshy59@gmail.com,8060883561,Male,1994-11-22,Udupi,Assam,2026-02-15
15,Oni,Virk,onivirk50@shopper.in,8846564823,Other,1977-01-09,Kurnool,Sikkim,2025-05-13
16,Dipta,Khare,diptakhare32@yahoo.co.in,9804436995,Other,1973-07-27,Mira-Bhayandar,Sikkim,2025-06-14
17,Charita,Shankar,charitashankar37@outlook.com,7148951343,Other,1977-01-04,Bangalore,Manipur,2025-11-13
18,Chandresh,Borah,chandreshborah15@gmail.com,9917693676,Male,1992-01-30,Guna,Himachal Pradesh,2024-01-03
19,Dominic,Palla,dominicpalla64@gmail.com,7870831727,Male,1960-03-05,Uluberia,Jharkhand,2026-06-12
20,Nakul,Sarma,nakulsarma50@outlook.com,9872774348,Other,1992-06-17,Pudukkottai,Uttar Pradesh,2025-03-02
21,Zarna,Anand,zarnaanand66@shopper.in,8345581223,Female,2000-12-10,Vasai-Virar,Chhattisgarh,2025-01-17
22,Aishani,D’Alia,aishanidalia37@shopper.in,9658760366,Other,1962-10-12,Darbhanga,Jharkhand,2026-06-25
23,Shivansh,Oza,shivanshoza12@outlook.com,9054668893,Other,1969-05-08,Dibrugarh,Meghalaya,2025-03-19
24,Ladli,Behl,ladlibehl72@shopper.in,9562729806,Female,1961-10-11,Bally,Arunachal Pradesh,2024-11-13
25,Aarav,Nath,aaravnath92@outlook.com,7720465375,Male,2007-12-21,Firozabad,Goa,2025-05-13
26,Vaishnavi,Sane,vaishnavisane63@yahoo.co.in,6708053100,Female,1993-08-31,Gorakhpur,Assam,2025-12-10
27,Falan,Banik,falanbanik89@gmail.com,7271937452,Male,1980-08-14,Chinsurah,Chhattisgarh,2024-12-28
28,Ansh,Morar,anshmorar49@shopper.in,6496631931,Male,1980-04-23,Secunderabad,Gujarat,2026-01-31
29,Zaid,Chauhan,zaidchauhan86@shopper.in,6586518506,Other,1979-07-25,Udupi,Telangana,2025-10-23
30,Garima,Khalsa,garimakhalsa56@outlook.com,7628498776,Female,1966-07-22,Haridwar,Andhra Pradesh,2026-06-29
31,Hemal,Natarajan,hemalnatarajan51@gmail.com,6473799650,Female,1983-07-07,Shimoga,Goa,2025-04-15
32,Chatura,Raja,chaturaraja72@gmail.com,8454948083,Male,1958-02-17,Korba,Gujarat,2024-07-27
33,Veda,Palla,vedapalla81@gmail.com,9770143634,Female,1976-04-06,Rajahmundry,Andhra Pradesh,2026-03-06
34,Inaya,Rastogi,inayarastogi80@yahoo.co.in,9855744431,Female,1977-10-31,Coimbatore,Tripura,2026-02-07
35,Liam,Panchal,liampanchal78@gmail.com,7374989413,Male,1999-02-24,Jorhat,Karnataka,2025-05-03
36,Akshay,D’Alia,akshaydalia48@shopper.in,7400842710,Male,1973-04-09,Amaravati,Himachal Pradesh,2025-06-28
37,Anjali,Chopra,anjalichopra66@yahoo.co.in,7047116719,Female,1996-02-03,Hapur,Telangana,2024-11-27
38,Naksh,Sarin,nakshsarin29@yahoo.co.in,6318699938,Male,1996-09-30,Kharagpur,Odisha,2025-06-14
39,Ikshita,Kumar,ikshitakumar85@outlook.com,8990913341,Female,1958-07-08,Mumbai,Mizoram,2024-03-29
40,Ronith,Patla,ronithpatla19@gmail.com,6679740344,Other,1984-11-04,Bathinda,Punjab,2026-04-19
41,Naksh,Dash,nakshdash97@gmail.com,8936183242,Male,2004-06-22,Guna,Jharkhand,2024-03-25
42,Tara,Narain,taranarain86@yahoo.co.in,9174648877,Female,1982-11-17,Begusarai,Chhattisgarh,2024-01-21
43,Inaya,Salvi,inayasalvi51@yahoo.co.in,6139904902,Female,2000-09-28,Akola,Punjab,2025-06-14
44,Nidhi,Ravi,nidhiravi33@outlook.com,9175655125,Female,1992-10-13,Avadi,Jharkhand,2025-07-11
45,Jagrati,Sani,jagratisani94@outlook.com,6715451680,Female,1994-12-18,Kirari Suleman Nagar,Manipur,2026-06-03
46,Vaishnavi,Kala,vaishnavikala62@shopper.in,7859770348,Female,1990-04-13,Gulbarga,Sikkim,2024-05-27
47,Chaman,Mander,chamanmander99@outlook.com,6093248086,Female,1990-07-28,Tiruchirappalli,Uttarakhand,2024-02-28
48,Kamya,Mukherjee,kamyamukherjee25@gmail.com,9484677378,Female,1970-10-13,Siliguri,Andhra Pradesh,2024-04-07
49,Chakradhar,Konda,chakradharkonda75@gmail.com,6465840449,Other,1987-10-30,Sirsa,Maharashtra,2025-07-08
50,Gunbir,Rajagopalan,gunbirrajagopalan67@outlook.com,8588675339,Male,1989-02-19,Latur,Chhattisgarh,2025-05-29
51,Aarnav,Chhabra,aarnavchhabra50@outlook.com,9627028951,Male,2008-06-19,Muzaffarnagar,Goa,2026-04-12
52,Vincent,Bedi,vincentbedi77@outlook.com,6262174596,Male,1993-06-05,Bhilai,Manipur,2025-04-17
53,Kiaan,Shetty,kiaanshetty78@outlook.com,8780913431,Other,2000-12-03,Mango,Punjab,2024-12-20
54,Yamini,Sandhu,yaminisandhu22@outlook.com,7400504556,Other,1992-10-11,Kozhikode,Telangana,2024-09-28
55,Vyanjana,Sengupta,vyanjanasengupta82@gmail.com,7219693792,Female,1973-02-18,Bally,Tripura,2024-05-10
56,Yoshita,Sundaram,yoshitasundaram42@shopper.in,9482175946,Female,1998-02-22,Panipat,Manipur,2026-04-20
57,Brinda,Mangal,brindamangal35@outlook.com,9136959440,Female,1971-06-15,Thanjavur,Karnataka,2026-03-20
58,Chaitaly,Devi,chaitalydevi11@shopper.in,9439533942,Female,1965-10-04,Yamunanagar,Tamil Nadu,2024-11-20
59,Ganga,Kala,gangakala66@shopper.in,8214562328,Female,1959-11-13,Vellore,Karnataka,2026-03-05
60,Unnati,Sagar,unnatisagar74@yahoo.co.in,7474517123,Other,1959-09-25,Bidar,Madhya Pradesh,2026-03-21
61,Anmol,Rai,anmolrai56@shopper.in,9048175496,Other,1987-12-15,Nagercoil,Jharkhand,2026-03-08
62,Robert,Saini,robertsaini96@gmail.com,9098593174,Male,1992-02-14,Morbi,Haryana,2024-12-29
63,Laban,Sarin,labansarin15@shopper.in,8711382675,Male,1988-07-17,Pali,Karnataka,2026-06-02
64,Tanmayi,Gandhi,tanmayigandhi85@gmail.com,9179640537,Female,1987-04-21,Deoghar,Andhra Pradesh,2025-02-28
65,Shravya,Bala,shravyabala22@yahoo.co.in,8064317139,Female,1961-03-17,Bhavnagar,West Bengal,2025-09-24
66,Vedhika,Gopal,vedhikagopal41@gmail.com,7183933529,Female,1958-12-01,Nadiad,Karnataka,2024-03-15
67,Hitesh,Sha,hiteshsha79@yahoo.co.in,7102053950,Male,1977-09-26,Nadiad,Himachal Pradesh,2024-01-27
68,Shivansh,Krishnan,shivanshkrishnan63@shopper.in,6775891783,Male,1961-01-25,Surat,Telangana,2025-09-21
69,Charles,Palla,charlespalla94@yahoo.co.in,9007661771,Other,1970-10-03,Thane,Tripura,2026-02-10
70,Azaan,Kota,azaankota28@shopper.in,7499856984,Other,1969-01-23,Jamnagar,Haryana,2025-06-08
71,Dev,Solanki,devsolanki99@shopper.in,7673657661,Male,2001-01-19,Phusro,Gujarat,2025-04-09
72,Udyati,Kunda,udyatikunda42@yahoo.co.in,7711116152,Other,2007-09-07,Rourkela,Punjab,2025-08-27
73,Ishwar,Gade,ishwargade81@yahoo.co.in,6656049451,Other,1976-08-29,Adoni,Andhra Pradesh,2025-02-16
74,Nachiket,Prashad,nachiketprashad94@outlook.com,7158514936,Male,1982-06-27,Aurangabad,Odisha,2026-06-11
75,Jairaj,Chaudry,jairajchaudry87@yahoo.co.in,6244550229,Male,2002-12-09,Ghaziabad,Uttar Pradesh,2025-10-04
76,Darpan,Barman,darpanbarman91@shopper.in,6836675254,Male,1979-02-14,Uluberia,Assam,2026-06-16
77,Yashawini,Om,yashawiniom20@shopper.in,7290147679,Other,1956-05-10,Unnao,Bihar,2025-03-19
78,Tarak,Pathak,tarakpathak75@shopper.in,8614978403,Male,1998-09-30,Jamnagar,Maharashtra,2024-11-28
79,Gaurang,Vig,gaurangvig36@yahoo.co.in,7244510762,Male,1999-10-05,Tadepalligudem,Uttar Pradesh,2024-09-29
80,Veda,Shroff,vedashroff39@yahoo.co.in,6606071596,Other,1985-02-19,North Dumdum,West Bengal,2025-06-01
81,Krisha,Chadha,krishachadha24@outlook.com,6529751613,Female,1974-06-23,Latur,Tripura,2025-05-24
82,Ucchal,Raghavan,ucchalraghavan20@outlook.com,8535218188,Other,1978-05-22,Shimla,West Bengal,2024-06-27
83,Omaja,Gopal,omajagopal92@gmail.com,7124329212,Female,1988-09-03,Raichur,Uttar Pradesh,2026-05-09
84,Leela,Oak,leelaoak82@outlook.com,8527177449,Female,1974-07-11,Miryalaguda,Andhra Pradesh,2024-09-16
85,Girish,Chada,girishchada49@outlook.com,9005411998,Male,1971-12-02,Unnao,Nagaland,2025-08-24
86,Wridesh,Soni,wrideshsoni15@outlook.com,7597820715,Other,1999-06-14,Sultan Pur Majra,Uttar Pradesh,2025-10-12
