Employee_ID,First_Name,Last_Name,Email,Phone,Gender,Role,Salary,Hire_Date,Store_ID,Status
1,Neelima,Butala,neelimabutala95@gmail.com,8864518376,Other,Store Manager,65196.65,2025-10-19,1,Active
2,Ganga,Mall,gangamall48@retailhub.in,7432756041,Female,Store Manager,85579.94,2026-06-29,2,Active
3,Chakrika,Mukherjee,chakrikamukherjee62@yahoo.co.in,9124815698,Female,Store Manager,83444.64,2025-06-25,3,Active
4,Farhan,Vaidya,farhanvaidya13@retailhub.in,7720634591,Other,Store Manager,67770.7,2025-08-03,4,Active
5,Samar,Dugal,samardugal93@gmail.com,9577242954,Other,Store Manager,69966.59,2026-05-30,5,Active
6,Omisha,Raman,omisharaman33@outlook.com,9930089317,Female,Store Manager,69956.66,2026-06-23,6,Active
7,Bachittar,Mukherjee,bachittarmukherjee16@outlook.com,9942152910,Male,Store Manager,82964.59,2026-06-22,7,Active
8,Urmi,Khare,urmikhare96@outlook.com,6333447626,Female,Store Manager,86408.44,2026-05-20,8,Active
9,Ayush,Konda,ayushkonda46@gmail.com,9262044397,Male,Store Manager,87683.21,2025-04-23,9,Active
10,Gabriel,Saraf,gabrielsaraf97@outlook.com,6072563669,Other,Store Manager,71405.64,2024-05-28,10,Active
11,Jack,Setty,jacksetty17@retailhub.in,8375990048,Other,Store Manager,80491.45,2026-01-14,11,Active
12,Baghyawati,More,baghyawatimore95@yahoo.co.in,7809242875,Female,Store Manager,86947.42,2025-09-12,12,Active
13,Gagan,Dar,gagandar50@outlook.com,7415027456,Male,Store Manager,72073.14,2026-05-22,13,Active
14,Advik,Devan,advikdevan43@yahoo.co.in,9257287032,Other,Store Manager,66364.18,2024-07-21,14,Active
15,Abdul,Gade,abdulgade70@yahoo.co.in,7761707587,Male,Store Manager,76443.99,2024-07-29,15,Active
16,Yuvraj,Palan,yuvrajpalan25@yahoo.co.in,6342284993,Male,Inventory Executive,36169.66,2024-09-16,1,Active
17,Kai,Ganesan,kaiganesan41@outlook.com,6504165915,Male,Sales Associate,27306.63,2026-06-16,2,Inactive
18,Kamya,Date,kamyadate71@outlook.com,8905097592,Other,Inventory Executive,30959.14,2024-05-06,3,Active
19,Krish,Dalal,krishdalal19@outlook.com,6642361032,Male,Sales Associate,30827.54,2025-10-21,4,Active
20,Ayushman,Nayak,ayushmannayak29@retailhub.in,8764925158,Other,Cashier,24598.33,2026-06-03,5,Inactive
21,Pushti,Magar,pushtimagar86@outlook.com,6659266108,Other,Sales Associate,30126.17,2026-06-15,6,Active
22,Devansh,Lall,devanshlall29@outlook.com,6476174224,Other,Cashier,32939.99,2026-06-28,7,Inactive
23,Balvan,Taneja,balvantaneja80@retailhub.in,6818661794,Male,Sales Associate,30331.86,2026-05-12,8,Active
24,Vedant,Vaidya,vedantvaidya24@outlook.com,7260164597,Male,Cashier,31845.61,2025-07-14,9,Active
25,Pranit,Bhakta,pranitbhakta37@gmail.com,6941680061,Male,Sales Associate,25199.57,2025-12-23,10,Inactive
26,Yahvi,Ganesan,yahviganesan94@outlook.com,8995641220,Female,Sales Associate,27862.03,2026-05-25,11,Active
27,Qarin,Dugar,qarindugar13@gmail.com,9236831472,Male,Cashier,28161.86,2025-07-18,12,Active
28,Joshua,Chauhan,joshuachauhan99@outlook.com,9707933496,Male,Sales Associate,25763.83,2026-05-06,13,Active
29,Jack,Kari,jackkari65@outlook.com,9998407678,Other,Cashier,29683.51,2025-10-03,14,Inactive
30,Aarav,Basu,aaravbasu77@retailhub.in,9958146717,Male,Sales Associate,34340.45,2026-01-26,15,Active
31,Abha,Konda,abhakonda12@gmail.com,8375738395,Female,Sales Associate,38826.03,2026-01-04,1,Active
32,Chakradhar,Sodhi,chakradharsodhi59@outlook.com,8729341722,Other,Inventory Executive,30792.78,2026-06-29,2,Active
33,Rajata,Rajagopal,rajatarajagopal48@gmail.com,7800545228,Female,Cashier,22415.61,2024-05-22,3,Active
34,Mason,Gola,masongola39@retailhub.in,7745508428,Other,Sales Associate,34064.34,2025-05-21,4,Active
35,Anita,Saini,anitasaini68@retailhub.in,6991808121,Female,Inventory Executive,40192.17,2026-05-23,5,Active
36,Udarsh,Nagy,udarshnagy66@outlook.com,6255213760,Other,Cashier,25189.11,2026-06-26,6,Inactive
37,Yuvraj,Saha,yuvrajsaha31@retailhub.in,8565328632,Other,Sales Associate,37026.53,2026-06-21,7,Inactive
38,Ekaja,Madan,ekajamadan97@yahoo.co.in,6720811556,Other,Inventory Executive,41747.23,2025-10-09,8,Inactive
39,Balvan,Pradhan,balvanpradhan94@gmail.com,6846684550,Male,Sales Associate,37405.05,2025-10-02,9,Active
40,Dipta,Thakkar,diptathakkar92@gmail.com,9563410856,Female,Cashier,31426.28,2026-03-19,10,Active
41,Charles,Gola,charlesgola46@gmail.com,6884852008,Other,Cashier,29702.55,2025-12-29,11,Active
42,Udant,Varty,udantvarty24@retailhub.in,8485101749,Other,Cashier,31579.16,2026-02-24,12,Active
43,Chakradhar,Rattan,chakradharrattan84@gmail.com,8449268315,Other,Inventory Executive,35230.33,2026-05-18,13,Active
44,Bakhshi,Shroff,bakhshishroff64@outlook.com,6106273715,Male,Sales Associate,35152.34,2025-03-03,14,Inactive
45,Barkha,Mukhopadhyay,barkhamukhopadhyay73@outlook.com,9762282772,Other,Inventory Executive,41552.45,2025-09-12,15,Active
46,Omisha,Chadha,omishachadha70@retailhub.in,7851961159,Female,Cashier,25764.68,2026-03-01,1,Active
47,Vasatika,Anand,vasatikaanand57@yahoo.co.in,8702296044,Female,Sales Associate,28233.72,2026-06-29,2,Active
48,Raksha,Iyer,rakshaiyer18@retailhub.in,9794975679,Female,Sales Associate,26992.14,2024-08-06,3,Inactive
49,Bishakha,Modi,bishakhamodi67@gmail.com,8199663658,Other,Cashier,22595.66,2026-03-07,4,Inactive
50,Xavier,Shetty,xaviershetty21@gmail.com,6948181398,Other,Cashier,29499.12,2026-04-13,5,Active
51,Jyoti,Tak,jyotitak12@retailhub.in,7043397189,Other,Cashier,26165.61,2026-06-19,6,Active
52,Guneet,Korpal,guneetkorpal53@outlook.com,7608564111,Male,Sales Associate,33126.69,2026-06-13,7,Active
53,Faqid,Ahuja,faqidahuja29@yahoo.co.in,9209520046,Male,Sales Associate,26481.16,2025-09-27,8,Inactive
54,Tara,Bajwa,tarabajwa58@retailhub.in,6339937886,Female,Inventory Executive,41291.0,2025-01-10,9,Active
55,Viraj,Pal,virajpal62@retailhub.in,9063048913,Other,Sales Associate,36444.67,2025-12-19,10,Active
56,Aarna,Nayak,aarnanayak67@retailhub.in,7258238687,Female,Sales Associate,25626.88,2026-05-25,11,Inactive
57,Aarav,Puri,aaravpuri47@gmail.com,6074946539,Other,Inventory Executive,39769.58,2025-11-28,12,Active
58,Damyanti,Chawla,damyantichawla82@retailhub.in,8161284639,Other,Sales Associate,32572.3,2026-06-26,13,Active
59,Ishanvi,Wagle,ishanviwagle91@yahoo.co.in,9435537950,Female,Inventory Executive,40796.26,2024-05-31,14,Active
60,Jagat,Saini,jagatsaini11@gmail.com,9876811807,Male,Cashier,30739.2,2025-04-01,15,Inactive
61,Xalak,Bhasin,xalakbhasin59@gmail.com,6175370304,Female,Inventory Executive,37527.76,2025-09-13,1,Active
