Supplier_ID,Supplier_Name,Contact_Name,Email,Phone,City,State
1,"Choudhury, Bakshi and Maharaj and Sons",Liam Chaudry,choudhurybakshiandmaharajandsons91@vendor.in,6433218196,Gudivada,Maharashtra
2,Balan Inc and Sons,Yashasvi Bala,balanincandsons14@vendor.in,6338908386,Bongaigaon,Maharashtra
3,Sen PLC LLC,Nathaniel Sami,senplcllc38@outlook.com,8026542351,Alwar,Chhattisgarh
4,Nayar Inc Inc,Gunbir Parmer,nayarincinc21@outlook.com,6559407816,Mahbubnagar,Himachal Pradesh
5,Sharaf PLC Inc,Farhan Memon,sharafplcinc20@yahoo.co.in,8931034131,Gangtok,Gujarat
6,"Boase, Bath and Kari LLC",Viraj Chaudhuri,boasebathandkarillc58@yahoo.co.in,9525534192,Alwar,Manipur
7,"Patla, Gaba and Prabhakar LLC",Amara Bora,patlagabaandprabhakarllc78@gmail.com,7764835030,Deoghar,Telangana
8,Gade Group Group,Theodore Nair,gadegroupgroup50@outlook.com,8139537672,Berhampur,Uttarakhand
9,Mutti Group LLC,Siddharth Murty,muttigroupllc43@gmail.com,7884969653,Panchkula,Madhya Pradesh
10,"Shanker, Dhar and Lanka and Sons",Adya Sangha,shankerdharandlankaandsons27@outlook.com,6012269166,Mirzapur,Haryana
11,Upadhyay Group Inc,Imaran Dua,upadhyaygroupinc86@outlook.com,8801845146,Bhusawal,Punjab
12,Rajan Group PLC,Zayan Apte,rajangroupplc30@outlook.com,6482814893,Jorhat,Tripura
13,Oak-Choudhury LLC,Nakul Setty,oakchoudhuryllc29@yahoo.co.in,7880957015,Firozabad,Mizoram
14,Tripathi Inc Ltd,Yashica Issac,tripathiincltd49@gmail.com,6391171822,Dindigul,Tripura
15,Zacharia PLC Inc,Vrinda Bahl,zachariaplcinc94@outlook.com,7489638346,Mirzapur,Uttarakhand
16,Khatri-Bhardwaj and Sons,Frederick Sunder,khatribhardwajandsons95@yahoo.co.in,9871331509,Katihar,Tripura
17,Dave Ltd Group,Alka Wable,daveltdgroup80@gmail.com,7010310518,Rajpur Sonarpur,Nagaland
18,"Iyer, Muni and Rastogi Ltd",Raksha Varughese,iyermuniandrastogiltd40@yahoo.co.in,9382997376,Jamshedpur,Haryana
19,Bhatt LLC Inc,Thomas Amble,bhattllcinc34@vendor.in,6656670106,Allahabad,Haryana
20,Balay LLC Inc,Arya Sunder,balayllcinc53@vendor.in,7338726247,Panvel,Chhattisgarh
